Restrição de Atendimento;Escola;Código INEP;UF;Município;Localização;Localidade Diferenciada;Categoria Administrativa;Endereço;Telefone;Dependência Administrativa;Categoria Escola Privada;Conveniada Poder Público;Regulamentação pelo Conselho de Educação;Porte da Escola;Etapas e Modalidade de Ensino Oferecidas;Outras Ofertas Educacionais;Latitude;Longitude
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;CEF GAN;53000919;DF;Brasília;Urbana;A escola não está em área de localização diferenciada;Pública;"QUADRA SGAN 603, AREA ESP. MODULO H. ASA NORTE. 70830-100 Brasília - DF.";(61) 39011534;Estadual;Não Informado;Não;Sim;Entre 201 e 500 matrículas de escolarização;Ensino Fundamental;Atendimento Educacional Especializado;-15.77606;-47.8736034
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;CEF POLIVALENTE;53000927;DF;Brasília;Urbana;A escola não está em área de localização diferenciada;Pública;"QUADRA SGAS 913, 57/58 ASA SUL. 70390-130 Brasília - DF.";(61) 39017691;Estadual;Não Informado;Não;Sim;Mais de 1000 matrículas de escolarização;Ensino Fundamental;Atendimento Educacional Especializado;-15.8196172;-47.9231456
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;CEM PAULO FREIRE;53000986;DF;Brasília;Urbana;A escola não está em área de localização diferenciada;Pública;"QUADRA SGAN 610, MODULO A. ASA NORTE. 70830-450 Brasília - DF.";(61) 39016929;Estadual;Não Informado;Não;Sim;Entre 501 e 1000 matrículas de escolarização;Ensino Médio;;-15.7559385;-47.8783258
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;CEM ASA NORTE - CEAN;53001010;DF;Brasília;Urbana;A escola não está em área de localização diferenciada;Pública;"QUADRA SGAN 606, S/N L2 NORTE. ASA NORTE. 70830-250 Brasília - DF.";(61) 39016926;Estadual;Não Informado;Não;Sim;Entre 501 e 1000 matrículas de escolarização;Ensino Médio;Atividade Complementar;-15.7665057;-47.8750957
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;CEM ELEFANTE BRANCO;53001036;DF;Brasília;Urbana;A escola não está em área de localização diferenciada;Pública;"QUADRA SGAS 908, AREA ESPECIAL. ASA SUL. 70390-080 Brasília - DF.";(61) 39018299;Estadual;Não Informado;Não;Sim;Mais de 1000 matrículas de escolarização;Ensino Médio;Atendimento Educacional Especializado;-15.8086289651692;-47.9094181861728
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;CED GISNO;53001044;DF;Brasília;Urbana;A escola não está em área de localização diferenciada;Pública;"QUADRA SGAN 907, BLOCO A. ASA NORTE. 70790-070 Brasília - DF.";(61) 39017519;Estadual;Não Informado;Não;Sim;Mais de 1000 matrículas de escolarização;"Ensino Fundamental, Ensino Médio, Educação de Jovens Adultos";Atendimento Educacional Especializado;-15.7692689;-47.894654
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;CEM SETOR LESTE;53001206;DF;Brasília;Urbana;A escola não está em área de localização diferenciada;Pública;"QUADRA SGAS 611/612, ASA SUL. 70200-710 Brasília - DF.";(61) 39017606;Estadual;Não Informado;Não;Sim;Mais de 1000 matrículas de escolarização;Ensino Médio;;-15.8312336;-47.9065513
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;CEM SETOR OESTE;53001214;DF;Brasília;Urbana;A escola não está em área de localização diferenciada;Pública;"QUADRA SGAS 912, MODULO D. ASA SUL. 70390-120 Brasília - DF.";(61) 39017625;Estadual;Não Informado;Não;Sim;Entre 501 e 1000 matrículas de escolarização;Ensino Médio;Atendimento Educacional Especializado;-15.8159148;-47.9197617
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;CIL 01 DE BRASILIA;53001257;DF;Brasília;Urbana;A escola não está em área de localização diferenciada;Pública;"QUADRA SGAS 907/908, 25/26 ASA SUL. 70390-075 Brasília - DF.";(61) 39017619;Estadual;Não Informado;Não;Sim;Escola sem matrícula de escolarização;;"Atendimento Educacional Especializado, Atividade Complementar";-15.808149478413;-47.9088543355911
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;CEF CASEB;53001265;DF;Brasília;Urbana;A escola não está em área de localização diferenciada;Pública;"QUADRA SGAS 909, 27/28 BLOCO A. ASA SUL. 70390-090 Brasília - DF.";(61) 39012620;Estadual;Não Informado;Não;Sim;Entre 501 e 1000 matrículas de escolarização;Ensino Fundamental;;-15.8116368;-47.911918
ESCOLA EXCLUSIVA DE ATIVIDADE COMPLEMENTAR;CIEF - C INTEGRADO DE EDUC FISICA;53001273;DF;Brasília;Urbana;A escola não está em área de localização diferenciada;Pública;"QUADRA SGAS 907SGAS 907/908 MODULOS, 25/26 ASA SUL. 70390-070 Brasília - DF.";(61) 39017618;Estadual;Não Informado;Não;Sim;Escola sem matrícula de escolarização;;Atividade Complementar;-15.8060801;-47.9100012
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EC DA VILA DO RCG;53001435;DF;Brasília;Urbana;A escola não está em área de localização diferenciada;Pública;"RUA C AREA ESPECIAL, S/N SMC -VILA DO RCG. SETOR MILITAR URBANO/COMPLEMENTAR. 70631-015 Brasília - DF.";(61) 39017789;Estadual;Não Informado;Não;Sim;Entre 51 e 200 matrículas de escolarização;"Educação Infantil, Ensino Fundamental";Atendimento Educacional Especializado;-15.7625842373818;-47.9500004276633
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;CEF 102 NORTE;53001443;DF;Brasília;Urbana;A escola não está em área de localização diferenciada;Pública;"QUADRA SQN 102 BLOCO A, AREA ESPECIAL. ASA NORTE. 70722-010 Brasília - DF.";(61) 39017591;Estadual;Não Informado;Não;Sim;Entre 201 e 500 matrículas de escolarização;Ensino Fundamental;Atendimento Educacional Especializado;-15.7816952;-47.8833627
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EC 102 SUL;53001451;DF;Brasília;Urbana;A escola não está em área de localização diferenciada;Pública;"QUADRA SQS 102, AREA ESPECIAL. ASA SUL. 70330-000 Brasília - DF.";(61) 39017581;Estadual;Não Informado;Não;Sim;Entre 201 e 500 matrículas de escolarização;Ensino Fundamental;Atendimento Educacional Especializado;-15.8029629;-47.8905611
